LibraryName	LibraryState	DateFineFree	EliminationType	EliminationNotes	CirculationType	minus24mo	minus23mo	minus22mo	minus21mo	minus20mo	minus19mo	minus18mo	minus17mo	minus16mo	minus15mo	minus14mo	minus13mo	minus12mo	minus11mo	minus10mo	minus09mo	minus08mo	minus07mo	minus06mo	minus05mo	minus04mo	minus03mo	minus02mo	minus01mo	zeromo	plus01mo	plus02mo	plus03mo	plus04mo	plus05mo	plus06mo	plus07mo	plus08mo	plus09mo	plus10mo	plus11mo	plus12mo
Anderson Public Library	IN	2018-09-01	Applies to all		Total	88772	92661	92438	89750	73158	71771	80807	75220	79148	83664	87652	88238	86532	91689	91485	87950	66644	59345	68560	66010	57902	63826	65911	62361	60805	65369	58460	54970	71159	73232	81051	74900	77398	79851	82029	78205	72288
Arapahoe Library District	CO	2017-04-01	Applies to all		Total	382429	397594	435655	429711	403541	380072	393184	373728	374170	395289	372372	411142	399743	393024	416215	406871	397960	367187	366438	347058	349765	371384	345880	386573	354090	370934	399764	392870	386056	354475	364846	354293	343006	383670	348557	396226	359621
Darlington County Library System	SC	2017-06-01	Applies partially	Partial Fines (no juvenile or young adult fines, select overdue media, etc.)	Total	31096	31418	26566	25942	24714	22890	21665	22664	22585	23028	21693	22834	30619	29489	26893	24891	23809	22342	18873	24784	22665	24570	20874	22035	29721	30039	26871	23534	25568	21280	18534	22374	20791	22189	20872	20550	24022
Jackson City Library	OH	2019-01-01	Applies to all		Total	6474	5904	6335	5427	5670	6681	6175	6073	5497	5817	6056	5070	6613	6683	6616	6691	6119	6849	7260	6994	6767	8174	7278	6483	7416	7264	7654	7190	6875	7149	8287	7033	6303	7000	5802	5985	
Joplin Public Library	MO	2018-07-31	Applies to all		Total	36398	33336	29433	30738	30855	28678	32095	29328	33564	30076	25267	51834	52135	43878	2303	40815	35559	43219	35655	32439	38155	36497	39021	46371	46041	42814	39111	38740	34868	33056	38690	33840	38898	34583	39171	44526	44755
LA County Library	CA	2017-12-18	Applies partially	Children Only	Total	991804	1009030	964869	1078612	1014090	956130	1007028	1011261	976786	930443	934701	893327	865343	924185	839384	963564	896380	916968	952516	970721	944373	919337	904581	836493	790654	878564	847213	907021	842584	831777	864913	881235	867540	814632	864485	782172	736813
Licking County Library	OH	2017-03-16	Applies to all		Total	122330	106356	92893	118278	114981	107858	107105	107193	98614	99520	103216	104179	111560	104091	99171	109453	94485	109403	105147	105249	99069	96051	108993	100879	114180	100618	103308	104205	114177	127611	121464	127243	120883	109428	122823	109917	119106
Manlius Library	NY	2019-01-01	Applies partially	Partial Fines (no juvenile or young adult fines, select overdue media, etc.)	Total	25163	23838	25574	25652	25309	28302	33752	30286	22527	22242	21787	20506	22392	22796	26393	25716	21666	25872	31958	29508	22353	21410	22761	20323	23947	22112	24164	23836	23780	24257	24286	25142	22256	22463	20024	19384	
The McComb Public Library	OH	2018-05-01	Applies to all		Total	3470	3991	3634	4084	4635	4760	4616	4228	4625	4252	4694	3977	3498	3810	2734	3095	3755	3919	3669	2875	3698	3317	3451	3446	2925	3156	3488	3261	4019	4352	3985	3885	4177	4175	4408	4338	3639
Oak Park Public Library	IL	2017-06-01	Applies to all		Total	102774	98837	95765	83000	84588	86359	82482	90768	83206	88563	83185	80522	92604	89432	87695	78440	76662	76015	70792	86662	72127	83675	72795	74896	88955	86188	80315	71666	74906	74683	67664	82507	73695	83384	73926	71246	91705
Plano Public Library	TX	2018-09-24	Applies to all		Total	358827	380871	352275	338170	371189	328595	361347	338471	344194	394899	401867	388662	343658	371454	337239	331844	368238	325533	360306	366121	347609	397564	401157	378665	366673	355630	320652	307052	341588	304126	345253	317058	324731	360725	374274	345173	335489
Quincy Thomas Crane Public Library	MA	2018-09-01	Applies partially	Partial Fines (no juvenile or young adult fines, select overdue media, etc.)	Total	58169	61659	58355	54481	61127	58051	68231	63438	64203	60077	65272	66285	58569	64008	58558	55465	62896	58286	65055	61942	61678	59132	63272	61324	49589	53540	50311	50223	56908	50493	56875	63447	69244	69837	78398	73410	68155
Rochester Public Library	NY	2017-01-01	Applies partially	Children and Teens Only	Total	140221	123563	142171	138557	128180	140384	148132	152197	134179	134170	129111	134433	138296	135270	146011	137543	134365	136430	143767	152946	134731	132305	130586	126737	138795	129991	137253	131520	133816	130298	141742	147666	128425	128895	123991	119982	131831
San Diego Public Library	CA	2018-07-01	Applies to all		Total	593029	573770	540284	543350	526192	452943	527820	488367	523912	512610	508054	532333	580632	580742	542433	573996	680528	785370	683117	631115	667052	678343	663790	676852	695544	706761	675961	698266	659798	623961	655146	622680	684382	672046	681427	671406	734476
Santa Clara City Library	CA	2017-07-01	Applies partially	Partial Fines (no juvenile or young adult fines, select overdue media, etc.)	Total																				204555	226224	216434	204280	214071	220228	213069	205839	204885	198596	200500	212956	191442	218932	210417	197903	209159	212002
Verona Public Library	WI	2018-12-01	Applies to all		Total	42443	48406	45427	50891	44672	46984	60345	57525	57622	46316	47456	45910	44523	50458	46877	54566	48925	46849	61099	62193	59646	49953	50818	48625	46313	48904	48700	52230	50814	47938	60348	64416	58526	49641	51070	48938	47232